Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7",CAP-TH_L5.0-W2.5-P5.00-D1.0,2,CC1H104MC1FD3F6C10MF,C254085
"C2, C8",CAP-TH_L7.3-W4.5-P5.00-D0.5,2,B32529C0105J289,C125386
"C3, C9",C_Radial_D5.0mm_H5.0mm_P2.00mm,2,c=10u,
"D1, D14, D2, D3, D4",DO-201_BD5.3-L9.5-P13.50-D1.4-FD,5,1.5KE18A_C132974,C132974
"D15, D5",DO-27_BD5.2-L8.9-P12.90-D1.5-RD,2,1N5338BRLG,C5307
"D16, D17, D18, D19, D20, D21, D26, D27, D28, D29, D6, D7",DO-41_BD2.4-L4.7-P8.70-D0.9-RD,12,1N4007RLG,C53568
"OSC1, OSC3",PDIP-8_L9.3-W6.4-P2.54-LS7.9-BL-1,2,MCP1406-E/P,C512178
"P1, P2, P3, P4, P5, P6, P7",CONN-TH_2P-P5.00_WJ128V-5.0-2P,7,WJ128V-5.0-2P,C8269
"Q1, Q5",TO-92-3_L4.9-W3.7-P1.27-L,2,BC547B,C713613
"Q2, Q6",TO-220-3_L10.0-W4.5-P2.54-L,2,IRFZ44NPBF,C2586
"R1, R10, R14, R20",RES-TH_BD4.2-L12.0-P16.00-D0.8,4,r=10k,
"R11, R12, R13, R2, R3, R4",RES-TH_BD4.2-L12.0-P16.00-D0.8,6,r=1k,
"R15, R21",RES-TH_BD4.2-L12.0-P16.00-D0.8,2,r=2.2k,
"R16, R22",RES-TH_BD6.0-L17.5-P21.50-D0.7,2,MOF3WS-2.2Ω±5%T,C714427
"U1, U3",RES-TH_L22.0-W10.0-P26.00-D1.0,2,SQP5W-10Ω±5%-9P,C5808012
