Designator,Mid X,Mid Y,Rotation,Layer
C1,198.0,-92.3,180.0,top
C2,197.98,-87.6,0.0,top
C7,178.3,-83.25,0.0,top
C8,177.8,-71.0,180.0,top
D1,151.0,-93.8,270.0,top
D14,192.7,-70.8,180.0,top
D15,193.3,-64.9,0.0,top
D16,198.8,-77.9,0.0,top
D17,198.8,-81.3,180.0,top
D18,141.2,-94.9,180.0,top
D19,141.2,-98.3,0.0,top
D2,144.5,-68.5,270.0,top
D20,141.2,-105.1,180.0,top
D21,141.2,-108.5,0.0,top
D26,141.1,-81.15,180.0,top
D27,141.1,-84.6,0.0,top
D28,141.1,-88.0,180.0,top
D29,141.1,-91.4,0.0,top
D3,150.5,-68.5,270.0,top
D4,182.5,-98.5,0.0,top
D5,199.9,-97.4,180.0,top
D6,198.9,-102.45,180.0,top
D7,198.9,-105.7,0.0,top
OSC1,187.98,-90.15,180.0,top
OSC3,188.05,-79.25,0.0,top
P1,94.5,-89.5,270.0,top
P2,94.5,-78.25,270.0,top
P3,152.8,-107.45,0.0,top
P4,174.75,-107.45,0.0,top
P5,163.8,-107.45,0.0,top
P6,214.1,-89.25,90.0,top
P7,214.1,-77.5,90.0,top
Q1,179.0,-89.37,270.0,top
Q2,186.5,-106.2,180.0,top
Q5,178.78184,-77.25,90.0,top
Q6,179.06,-64.9,0.0,top
R1,163.9,-87.55,0.0,top
R10,163.9,-73.3,0.0,top
R11,163.9,-78.05,0.0,top
R14,103.0,-98.0,90.0,top
R15,122.3,-107.1,0.0,top
R16,120.4,-87.45,0.0,top
R2,163.9,-82.8,0.0,top
R20,138.6,-69.6,90.0,top
R21,102.8,-73.2,90.0,top
R22,120.4,-79.8,0.0,top
U1,120.8,-98.4,180.0,top
U3,120.7,-68.6,180.0,top
